Followers,Total Videos,Upload Year,Upload Month,Upload Day,Upload Weekday,Engagement Rate,Number of Hashtags,Upload_Afternoon,Upload_Evening,Upload_Midnight,Upload_Morning
1700000,203,2020,9,29,2,0.0168182352941176,2,0,1,0,0
1700000,203,2020,9,28,1,0.0198488235294117,3,0,1,0,0
1700000,203,2020,9,25,5,0.0313005882352941,4,1,0,0,0
1700000,203,2020,9,24,4,0.0216882352941176,3,0,1,0,0
1700000,203,2020,9,23,3,0.0155976470588235,2,1,0,0,0
1700000,203,2020,9,22,2,0.0230005882352941,3,1,0,0,0
1700000,203,2020,9,18,5,0.0291947058823529,2,1,0,0,0
1700000,203,2020,9,17,4,0.0050170588235294,3,1,0,0,0
1700000,203,2020,9,15,2,0.0065723529411764,2,1,0,0,0
3600000,16,2020,10,27,2,0.0882497222222222,4,0,1,0,0
3600000,16,2020,6,6,6,0.0967730555555555,1,0,1,0,0
3600000,16,2020,5,16,6,0.0617161111111111,0,0,0,1,0
3600000,16,2020,4,4,6,0.0793166666666666,4,0,1,0,0
3600000,16,2020,3,30,1,0.0720838888888888,0,0,1,0,0
3600000,16,2020,3,30,1,0.0513502777777777,0,0,1,0,0
4500000,36,2020,10,7,3,0.0761731111111111,1,0,1,0,0
4500000,36,2020,7,20,1,0.0940551111111111,0,0,1,0,0
4500000,36,2020,7,19,7,0.100126,0,0,1,0,0
4500000,36,2020,7,17,5,0.020056,1,1,0,0,0
4500000,36,2020,6,25,4,0.0502151111111111,1,0,0,1,0
4500000,36,2020,6,22,1,0.0651644444444444,0,0,1,0,0
4500000,36,2020,3,25,3,0.0875135555555555,1,1,0,0,0
4500000,36,2020,3,12,4,0.0790677777777777,1,1,0,0,0
4500000,36,2020,3,2,1,0.0999173333333333,2,1,0,0,0
4500000,36,2020,1,25,6,0.0863815555555555,2,0,0,1,0
4500000,36,2020,1,15,3,0.0416646666666666,2,1,0,0,0
4500000,36,2019,11,23,6,0.0775528888888889,2,0,1,0,0
4500000,36,2019,11,12,2,0.0758635555555555,2,0,1,0,0
4500000,36,2019,10,26,6,0.0724615555555555,2,0,1,0,0
4500000,36,2019,10,25,5,0.061508,3,0,1,0,0
141200,25,2020,10,31,6,0.0036048158640226,0,0,0,1,0
141200,25,2020,10,21,3,0.0196529745042492,0,0,0,1,0
141200,25,2020,10,3,6,0.0182861189801699,0,0,0,0,1
141200,25,2020,9,25,5,0.0373016997167138,0,0,0,0,1
141200,25,2020,9,17,4,0.0378824362606232,0,0,1,0,0
141200,25,2020,9,2,3,0.0157719546742209,0,0,0,0,1
141200,25,2020,8,1,6,0.0185835694050991,0,0,1,0,0
141200,25,2020,7,25,6,0.0666218130311614,0,0,0,0,1
141200,25,2020,7,17,5,0.0125920679886685,0,0,0,1,0
141200,25,2020,7,12,7,0.0113881019830028,0,0,0,1,0
141200,25,2020,7,9,4,0.0131940509915014,0,0,0,1,0
